ext_col,ext_col_map
-1.3730422258377075,0
-1.3643150329589844,1
-1.3555879592895508,2
-1.3468608856201172,3
-1.338133692741394,4
-1.3294066190719604,5
-1.3206794261932373,6
-1.3119523525238037,7
-1.30322527885437,8
-1.294498085975647,9
-1.2857710123062134,10
-1.2770438194274902,11
-1.2683167457580566,12
-1.259589672088623,13
-1.2508624792099,14
-1.2421354055404663,15
-1.2334082126617432,16
-1.2246811389923096,17
-1.215954065322876,18
-1.2072268724441528,19
-1.1984997987747192,20
-1.1897727251052856,21
-1.1810455322265625,22
-1.172318458557129,23
-1.1635912656784058,24
-1.1548641920089722,25
-1.1461371183395386,26
-1.1374099254608154,27
-1.1286828517913818,28
-1.1199556589126587,29
-1.111228585243225,30
-1.1025015115737915,31
-1.0937743186950684,32
-1.0850472450256348,33
-1.0763200521469116,34
-1.067592978477478,35
-1.0588659048080444,36
-1.0501387119293213,37
-1.0414116382598877,38
-1.0326844453811646,39
-1.023957371711731,40
-1.0152302980422974,41
-1.0065031051635742,42
-0.9977760314941406,43
-0.9890488982200624,44
-0.980321764945984,45
-0.9715946316719056,46
-0.9628674983978271,47
-0.9541404247283936,48
-0.9454132914543152,49
-0.9366861581802368,50
-0.9279590249061584,51
-0.91923189163208,52
-0.9105048179626464,53
-0.901777684688568,54
-0.8930505514144897,55
-0.8843234181404114,56
-0.875596284866333,57
-0.8668692111968994,58
-0.858142077922821,59
-0.8494149446487427,60
-0.8406878113746643,61
-0.8319607377052307,62
-0.8232336044311523,63
-0.814506471157074,64
-0.8057793378829956,65
-0.7970522046089172,66
-0.7883251309394836,67
-0.7795979976654053,68
-0.7708708643913269,69
-0.7621437311172485,70
-0.7534165978431702,71
-0.7446895241737366,72
-0.7359623908996582,73
-0.7272352576255798,74
-0.7185081243515015,75
-0.7097809910774231,76
-0.7010539174079895,77
-0.6923267841339111,78
-0.6835996508598328,79
-0.6748725175857544,80
-0.666145384311676,81
-0.6574183106422424,82
-0.6486911773681641,83
-0.6399640440940857,84
-0.6312369108200073,85
-0.6225098371505737,86
-0.6137827038764954,87
-0.605055570602417,88
-0.5963284373283386,89
-0.5876013040542603,90
-0.5788742303848267,91
-0.5701470971107483,92
-0.5614199638366699,93
-0.5526928305625916,94
-0.5439656972885132,95
-0.5352386236190796,96
-0.5265114903450012,97
-0.5177843570709229,98
-0.5090572237968445,99
-0.5003300905227661,100
-0.4916029870510101,101
-0.4828758835792541,102
-0.4741487503051758,103
-0.4654216468334198,104
-0.4566945135593414,105
-0.447967380285263,106
-0.4392402768135071,107
-0.4305131435394287,108
-0.4217860400676727,109
-0.4130589067935943,110
-0.404331773519516,111
-0.39560467004776,112
-0.3868775367736816,113
-0.3781504333019256,114
